title,winery,variety,designation,province,region_1,country,points,price,taster_name,description
Bergström 2009 Sigrid Chardonnay (Willamette Valley),Bergström,Chardonnay,Sigrid,Oregon,Willamette Valley,US,95,$80.0,Paul Gregutt,"An astonishing wine, creamy and loaded with lush fruit flavors. The tropical fruits are just the beginning; layer upon layer of marshmallow, whipped cream, brioche, butterscotch, buttered nuts, toast and more keep piling on. With all that richness, it remains a billowy, pillowy Chardonnay, light as a feather, yet deep and dreamy."
:Nota Bene 2013 Una Notte Red (Columbia Valley (WA)),:Nota Bene,Rhône-style Red Blend,Una Notte,Washington,Columbia Valley (WA),US,86,$30.0,Sean P. Sullivan,"This combines 73% Grenache, 16% Syrah and 11% Mourvèdre from Stone Tree, Arianses, Ciel du Cheval and Heart of the Hill vineyards. Its vanilla, pencil box, green herb, raspberry and purple fruit aromas are followed by quite sweet, ripe, full-bodied red and black fruit flavors. The balance seems off."
Chateau Ste. Michelle 2014 Sauvignon Blanc (Columbia Valley (WA)),Chateau Ste. Michelle,Sauvignon Blanc,,Washington,Columbia Valley (WA),US,85,$11.0,Sean P. Sullivan,Light aromas of herbs and citrus lead to fleshy fruit flavors with a lightly spritzy feel. Pair it with baked chicken.
Avennia 2010 Sestina Red (Columbia Valley (WA)),Avennia,Red Blend,Sestina,Washington,Columbia Valley (WA),US,93,$50.0,Paul Gregutt,"Sestina is the bigger sister to the winery's Gravura; again Cabernet Sauvignon takes front and center, with Merlot (18%) and Cabernet Franc (9%) filling in the rest. 70% of the French oak used was new, and the wine has more toast, smoke and barrel depth than its companion, though less of the luscious red fruit is showing. Espresso, cacao and other dark, roasted flavors wrap around black cherry cola and milk chocolate; the finish thoroughly delicious."
Ponzi 2012 Avellana Vineyard Chardonnay (Willamette Valley),Ponzi,Chardonnay,Avellana Vineyard,Oregon,Willamette Valley,US,93,$60.0,Paul Gregutt,"This Ponzi-owned vineyard is in the Chehalem Mountains AVA (but not listed as such). It's bright and tense, with coiled energy and flavors that do need some hours to breathe open. Poached pear, lemon curd and caramel apple are in the mix. At first a little hot in the finish, it smoothes out and turns into a buttery gem."
Saffron Fields Vineyard 2013 Heritage Clones Pinot Noir,Saffron Fields Vineyard,Pinot Noir,Heritage Clones,Oregon,Willamette Valley,US,92,$50.0,Paul Gregutt,"The heritage clones referenced here are Pommard and Wädenswil, yielding fresh and forward fruit flavors of strawberry with a cherry-popsickle kick. There's a nice brambly texture to the fruit, along with a dash of cola. It's a harmonious and texturally resonant Pinot Noir ready for near-term enjoyment."
Kokomo 2013 Peters Vineyard Chardonnay (Russian River Valley),Kokomo,Chardonnay,Peters Vineyard,California,Russian River Valley,US,90,$28.0,Virginie Boone,"Fully caramelized in oak, this wine shows flavors of ripe baked apple and pear within a full-bodied, concentrated style that's completely satisfying. Well made and tasty, it finishes in a swirl of Tahitian vanilla and crème brûlée."
J Vineyards & Winery 2013 Estate Grown Chardonnay (Russian River Valley),J Vineyards & Winery,Chardonnay,Estate Grown,California,Russian River Valley,US,88,$28.0,Virginie Boone,"Full-bodied ripeness and creamy oak combine for a forceful white wine, rich and textured, made from a selection of two vineyard sites, including Bow Tie, a vineyard-designate. Toasty spice adds complexity before the wine finishes in caramel."
Dutton Estate 2009 Cohen Vineyard Sauvignon Blanc (Russian River Valley),Dutton Estate,Sauvignon Blanc,Cohen Vineyard,California,Russian River Valley,US,85,$22.0,,"The wine is unoaked, but tastes strangely strong in vanilla and buttered toast. Whatever the aging regime, it's jammy in apricots, tangerines and mangoes that finish sweet and hot."
Ken Wright 2014 Bonnie Jean Vineyard Pinot Noir,Ken Wright,Pinot Noir,Bonnie Jean Vineyard,Oregon,Willamette Valley,US,94,$63.0,Paul Gregutt,"Deceptively light in color, yet aromatically rich, this sends up a lush mix of berries, spices, chocolate and pastry notes. It's youthful and vibrant, with clean, bright, tangy fruit that has the balance and power for excellent development in the bottle. Drink now through 2025."
Guzzling Goose 2008 Gewurztramajor,Guzzling Goose,Gewurztramajor,,Mars,N A,US,12,$324.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Lynmar 2014 Bliss Block Pinot Noir (Russian River Valley),Lynmar,Pinot Noir,Bliss Block,California,Russian River Valley,US,94,$80.0,Virginie Boone,"Bliss Block lies within the property's Quail Hill Vineyard and is the coolest two acres on the estate. Spicy acidity and dark earth support a full-bodied, oaky imprint of complexity and structure, dotted in savory cranberry and black tea."
Doyenne 2006 Métier Red Wine Red (Columbia Valley (WA)),Doyenne,Red Blend,Métier Red Wine,Washington,Columbia Valley (WA),US,90,$36.0,Paul Gregutt,"Fruit compote—plum and strawberry—is melded to light toast and coffee. The wine has juicy acids and a thickly satisfying midpalate whose fruit flavors linger on, adding a little peppery spice as the wine evolves in the mouth. Just a whisp of chocolate leaves you ready for the next sip."
Heron Hill 2010 Cabernet Franc (Finger Lakes),Heron Hill,Cabernet Franc,,New York,Finger Lakes,US,87,$15.0,Anna Lee C. Iijima,"Hints of fresh herbs add depth to bright red-cherry and strawberry notes on this brisk, refreshing wine. Striking acidity and soft, delicate tannins draw out a long, cherry-menthol finish."
Raptor Ridge 2010 Reserve Pinot Noir (Willamette Valley),Raptor Ridge,Pinot Noir,Reserve,Oregon,Willamette Valley,US,86,$38.0,Paul Gregutt,"A bit of a disappointment, given the excellence of the winery's 2010 vineyard designates. Tart cranberry fruit carries a whiff of saddle leather, and finishes with a fair amount of leafy herbal notes. It's sealed with screwcap, so decanting it would be a good idea if you plan to drink it soon."
Forgeron 2008 Orange Muscat (Columbia Valley (WA)),Forgeron,Orange Muscat,,Washington,Columbia Valley (WA),US,90,$23.0,Paul Gregutt,"A fine complement to the Forgeron Late Harvest Sémillon, this is equally sweet (9.5%) but fortified to just under 18% alcohol. It's reminiscent of Benedictine & Brandy – orange liqueur with some alcohol power. Nice focus and balance."
Ken Wright 2012 Pinot Noir (Willamette Valley),Ken Wright,Pinot Noir,,Oregon,Willamette Valley,US,91,$25.0,Paul Gregutt,"Ken Wright produces more than a dozen single-vineyard Pinots in any given vintage. This wine, which sells for a fraction of the cost of those wines, uses many of the same grapes. It's an astonishing value, lushly fruited, tangy and laced with appealing minerality. The mix of red fruits, earth, acid and mineral is a perfect encapsulation of the pricier cuvées' strengths."
Rossi Wallace 2012 Pinot Noir (Napa Valley),Rossi Wallace,Pinot Noir,,California,Napa Valley,US,86,$28.0,,"This Pinot is consistent with the winery's previous bottlings over the years. It's a solid wine, with gentle tannins and tart acidity framing cranberry, cola and herb flavors. Drink now."
Castle Rock 2012 Cabernet Sauvignon (Columbia Valley (WA)),Castle Rock,Cabernet Sauvignon,,Washington,Columbia Valley (WA),US,85,$11.0,Sean P. Sullivan,"This wine offers aromas of herbs, black cherry and spice, showing a bit of heat. The dark-fruit flavors have good intensity, with dry, astringent tannins backing them up."
Apolloni 2006 Estate Pinot Noir (Willamette Valley),Apolloni,Pinot Noir,Estate,Oregon,Willamette Valley,US,90,$32.0,Paul Gregutt,"A fine value in Oregon Pinot Noir, the estate bottling from Apolloni brings typical varietal flavors of sassafras, cherry cola and fresh herb. The fruit is perfectly ripe, yet retains the peppery, herbal, leafy character of northern Willamette Valley sites. Barrel aging adds length, texture and a finishing splash of butterfat."
Sterling 2004 Diamond Mountain Ranch Vineyard Cabernet Sauvignon (Napa Valley),Sterling,Cabernet Sauvignon,Diamond Mountain Ranch Vineyard,California,Napa Valley,US,91,$65.0,,"The most structured of Sterling's recent releases and hence our favorite, the 2004 Diamond Mountain Ranch Cabernet boasts notes of cinnamon, cassis and clove, framed by firm tannins and finishing with a hint of anise. Drink 2008–2015."
Waterbrook 2012 Rosé Sangiovese (Columbia Valley (WA)),Waterbrook,Sangiovese,Rosé,Washington,Columbia Valley (WA),US,85,$11.0,Sean P. Sullivan,"Pale salmon colored, this is a straightforward summer sipper with notes of cherry, watermelon, and wet stone. It drinks dry with a hint of effervescence and tart flavors."
Roadhouse Winery 2012 Gold Label Middle Reach Pinot Noir (Russian River Valley),Roadhouse Winery,Pinot Noir,Gold Label Middle Reach,California,Russian River Valley,US,91,$52.0,,"A blend of several vineyards in the famous Middle Reach stretch of the warmer, northwestern arm of the Russian River Valley, this is a beautiful wine to drink now. It's dry and silky, with perfectly ripened raspberry, cherry, strawberry and cola flavors, brightened by crisp acidity. It will hold in the bottle through 2020."
Emerson 2014 Estate Pinot Noir (Willamette Valley),Emerson,Pinot Noir,Estate,Oregon,Willamette Valley,US,85,$25.0,Paul Gregutt,"There's a light whiff of nail polish remover here, and little evidence of ripe fruit. Some flavors of stem come up with the tannins, and overall this is a wine best drunk soon."
Williams Selyem 2006 Allen Vineyard Pinot Noir (Russian River Valley),Williams Selyem,Pinot Noir,Allen Vineyard,California,Russian River Valley,US,93,$78.0,,"The Allen bottling typically needs time to come around. This '06 shows the dusty tannins that close it down a bit in its youth, suggesting a good five years in the cellar. Silky and refined, it should evolve to a fine wine, with its cherry pie, mocha, cola and spice flavors. If you drink now, decant. Beautiful with a fine grilled steak."
Merry Edwards 2014 Pinot Noir (Russian River Valley),Merry Edwards,Pinot Noir,,California,Russian River Valley,US,93,$48.0,Virginie Boone,"A blend from several of the producer's finest vineyards, including Georganne, Flax, Olivet Lane and Klopp, this offers complex notes of smoky lavender and licorice. Velvety texture underlies mouth-coating flavors of blackberry jam, pomegranate and cardamom, finishing tartly in acidity."
Papapietro Perry 2012 Peters Vineyard Pinot Noir (Russian River Valley),Papapietro Perry,Pinot Noir,Peters Vineyard,California,Russian River Valley,US,91,$56.0,Virginie Boone,"Ripe and full-bodied, this is a bright and velvety wine, driven aromatically by lush cherry, cola and vanilla. Textured and fleshy, it's a strong statement for the vintage and vineyard. Deliciously drinkable now, it should also do well in the cellar, through 2020."
Illahe 2011 Reserve Pinot Noir (Willamette Valley),Illahe,Pinot Noir,Reserve,Oregon,Willamette Valley,US,89,$40.0,Paul Gregutt,"The reserve spends 18 months in 50% new French oak. It's already drinking well and hinting at quickly-maturing tannins. Soft and lightly leathery, it mixes rose petals, milk chocolate and sandalwood in with the pretty cherry fruit. Drink now and over the next few years."
Buehler 2013 Estate Cabernet Sauvignon (Napa Valley),Buehler,Cabernet Sauvignon,Estate,California,Napa Valley,US,87,$36.0,Virginie Boone,"Soft and juicy in black cherry and plum, this wine offers good value in its blend of girth and acidity. It piques interest on the palate with its toned black licorice and velvety structure."
Serenity 2012 Mirth Red (Finger Lakes),Serenity,Red Blend,Mirth,New York,Finger Lakes,US,88,$24.0,Anna Lee C. Iijima,"Equal proportions of Cabernet Franc and Merlot yield this penetrating sour-cherry palate touched with nuts, smoke, bramble and herb. It's refreshingly light bodied, marked by a crush of cranberry acidity and finely grained tannins."
Red Newt Cellars 2014 Semi-Dry Riesling (Finger Lakes),Red Newt Cellars,Riesling,Semi-Dry,New York,Finger Lakes,US,88,$18.0,Anna Lee C. Iijima,"While subdued on the nose, crunchy Asian pear and green-apple flavors on the palate are persistent and vital. Racy acidity and delicate sweetness balance neatly. A refreshing, thirst quenching wine with wide appeal."
Provincial Vineyards 2012 Reserve Rêve Estate Pinot Noir (Willamette Valley),Provincial Vineyards,Pinot Noir,Reserve Rêve Estate,Oregon,Willamette Valley,US,89,$45.0,Paul Gregutt,"One barrel was new French oak, the other neutral. The cranberry fruit here is subdued and tart, while the barrel aging brings in popcorn, walnuts and even a trace of butter brickle. Give this bottle until 2017–2017 to open up."
Walter Dacon 2008 Skookum Red (Columbia Valley (WA)),Walter Dacon,Red Blend,Skookum,Washington,Columbia Valley (WA),US,83,$20.0,Paul Gregutt,"Kool-aid character, light raspberry fruit, slightly candied, with an artificial tang to the finish."
Golden Leopard 2007 Sake,Golden Leopard,Sake,,Australia,NA,US,81,$383.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Fritz 2009 Pinot Noir (Russian River Valley),Fritz,Pinot Noir,,California,Russian River Valley,US,87,$30.0,,"For some reason, Fritz held this wine back eight months later than their very fine 2009 Reserve Pinot. It's a solid wine, silky and pure, but it's a little too sweet in raspberries and cherries, like a granola candy bar."
Red Newt Cellars 2011 Circle Riesling (Finger Lakes),Red Newt Cellars,Riesling,Circle,New York,Finger Lakes,US,90,$12.0,Anna Lee C. Iijima,"Exotic melon and pineapple flavors are accented by hints of chalk and powdered sugar on this brisk yet penetrating Riesling. Light on its feet with a textural, almost feathery, mouthfeel, it's an incredible steal at $12."
Hazlitt 1852 Vineyards 2013 Grüner Veltliner (Finger Lakes),Hazlitt 1852 Vineyards,Grüner Veltliner,,New York,Finger Lakes,US,87,$16.0,Anna Lee C. Iijima,"Blossom and peach notes are layered amidst dust and bramble on the nose of this robust, full-bodied Grüner Veltliner. Lushly textured, the palate showcases white grapefruit flavor tinged with characteristic notes of pepper and spice."
Frei Brothers 2010 Reserve Chardonnay (Russian River Valley),Frei Brothers,Chardonnay,Reserve,California,Russian River Valley,US,90,$20.0,,"Lots of toasty, caramelized oak tones combine with ripe flavors of pineapples, pears and green apples. It seems a little sweet on the finish, but that's balanced by a swirl of acidity. Drink now."
Luke Donald 2012 LDC Red (Napa Valley),Luke Donald,Red Blend,LDC,California,Napa Valley,US,91,$42.0,Virginie Boone,"Merlot and Cabernet Sauvignon are equally represented in this soft, robust blend that also includes smaller amounts of Cabernet Franc and Petit Verdot. Juicy blackberry and plum combine with dusty, integrated tannin, as a length of dark cherry and sage weave in and out."
Robert Weil 2016 Soju,Robert Weil,Soju,,Australia,N A,US,196,$215.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Wilson and Wilson 2013 Cabernet Sauvignon (Napa Valley),Wilson and Wilson,Cabernet Sauvignon,,California,Napa Valley,US,91,$55.0,Virginie Boone,"Spearmint and a tease of green olive invite one into this smooth, leathery wine, firm in grippy tannin and supportive oak. Made by Alan Viader of the Viader winemaking family in the Napa Valley, it shows power and grace in equal measure."
Cor Cellars 2007 Riesling (Columbia Valley (WA)),Cor Cellars,Riesling,,Washington,Columbia Valley (WA),US,88,$18.0,Paul Gregutt,"This off-dry (11.5% alcohol) Riesling is a fruit-driven wine, with a tangy sweet/tart mouthfeel reminiscent of Vouvray. Meyer lemon, apricot, lime and candied pineapple flavors pile on. There's plenty of natural acid to cut through the sweetness."
Novelty Hill 2006 Stillwater Creek Vineyard Sauvignon Blanc (Columbia Valley (WA)),Novelty Hill,Sauvignon Blanc,Stillwater Creek Vineyard,Washington,Columbia Valley (WA),US,92,$18.0,Paul Gregutt,"This is every bit the equal of, if not even a bit better than, the outstanding 2005 Novelty Hill Sauvignon Blanc. Here is the same mix of racy, bracing tropical and stone fruit flavors, nicely matched to toasty flavors of almonds and biscuits. Elegant, detailed and ripe, yet clearly varietal, this is a beautiful, seductive example of barrel-fermented Washington Sauvignon Blanc."
Hill Wine Company 2011 Black Dog Series Chardonnay (Napa Valley),Hill Wine Company,Chardonnay,Black Dog Series,California,Napa Valley,US,86,$18.0,,"Its brisk acidity and dry, tart lemon-and-lime flavors make this a nice wine to drink now. It has the herb and tobacco notes you often find in Napa Valley Chardonnay."
Secret House 1998 Pinot Noir (Willamette Valley),Secret House,Pinot Noir,,Oregon,Willamette Valley,US,84,$22.0,Michael Schachner,"Some youthful minty cherry marks the nose. The palate is heavy on the tangy red fruits: cranberry and raspberry. A clean quaffer and a nice introduction to the world of Oregon Pinot. Has the varietal correctness, but it’s trim as a stick."
Browne Family Vineyards 2011 Chardonnay (Columbia Valley (WA)),Browne Family Vineyards,Chardonnay,,Washington,Columbia Valley (WA),US,87,$30.0,Sean P. Sullivan,"The oak—all French—is out front with notes of toast, crème brûlée and spice along with peach and lemon. It's light in style with a warm finish."
Hestia Cellars 2008 Merlot (Columbia Valley (WA)),Hestia Cellars,Merlot,,Washington,Columbia Valley (WA),US,91,$28.0,Paul Gregutt,"This is pure Merlot from the StoneTree vineyard in the Wahluke Slope AVA. It's been aged almost two years in new French oak barrels, and has the delicious mix of fruit and barrel flavors to prove it. Supple, succulent, smooth and spicy, it's a showcase for cherry and cassis fruit, accented with pungent, almost piney herb. Excellent texture and mass shows good winemaking."
Ashan 2014 Barrel Fermented Chardonnay (Columbia Valley (WA)),Ashan,Chardonnay,Barrel Fermented,Washington,Columbia Valley (WA),US,91,$25.0,Sean P. Sullivan,"This wine offers a pleasing mixture of aromas and flavors of baking spices, pear and apple. Viscosity and weight gives it a sense of gravitas but never gets bogged down."
Silver Veil 2015 Chardonnay (Russian River Valley),Silver Veil,Chardonnay,,California,Russian River Valley,US,88,$20.0,Virginie Boone,"Easygoing oak wraps around tart acidity in this simply conceived, straightforward and easy-to-like white. It's light bodied and crisp, with green apple and Meyer lemon flavors."
Dutton-Goldfield 2013 Dutton Ranch Chardonnay (Russian River Valley),Dutton-Goldfield,Chardonnay,Dutton Ranch,California,Russian River Valley,US,93,$38.0,Virginie Boone,"This golden wine confounds in a mix of wet stone and caramel on the nose, the body creamy in vanilla. Fuller in style and body than some, it remains balanced in acidity and tangy citrus, maintaining a freshness and brightness throughout. The finish is intense with more of that citrus, plus an accent of ginger and lemongrass."
Amici 2012 Reserve Cabernet Sauvignon (Napa Valley),Amici,Cabernet Sauvignon,Reserve,California,Napa Valley,US,90,$80.0,Virginie Boone,"Floral and lush, this majority Cabernet Sauvignon contains 10% Merlot and 6% Petit Verdot, combining for a structured, layered wine accented in black cherry, cedar and dried herb. From vineyards strewn across the Napa Valley, including mountainside sites, it offers power and finesse and should sit well in cellar through 2022."
A Blooming Hill Vineyard 2014 Trouble Pinot Noir (Willamette Valley),A Blooming Hill Vineyard,Pinot Noir,Trouble,Oregon,Willamette Valley,US,88,$30.0,Paul Gregutt,"Pommard and Wädenswil clones make up this cuvée. Chunky fruit flavors of sour plum and cherry are on display, with decent penetration and moderate length. Drink now through 2022."
Origin 2014 Johan Vineyard Pinot Noir (Willamette Valley),Origin,Pinot Noir,Johan Vineyard,Oregon,Willamette Valley,US,90,$60.0,Paul Gregutt,"This is showing a bit of muscle, and some still-integrating barrel flavors, but it's already a wine that delivers plenty of pleasure. Forgive the flaky faux-wax topping (not thick enough to be called a real capsule) and enjoy the well-ripened blackberry fruit, the nicely-layered creamy chocolate, the touch of underbrush and the appealing length. Drink now through 2022."
Starmont 2007 Cabernet Sauvignon (Napa Valley),Starmont,Cabernet Sauvignon,,California,Napa Valley,US,90,$27.0,,"Pretty good price for a Cabernet this elegant and rich. Starmont is a kind of second label to the excellent producer, Merryvale, and this '07 shows a fine pedigree, as well as the general quality of the vintage. It's dry and balanced, with complex blackberry, currant and oak flavors. Drink now–2013."
Golden Leopard 2018 Soju,Golden Leopard,Soju,,Mars,NA,US,211,$14.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Atwater 2011 Dry Estate Vineyards Riesling (Finger Lakes),Atwater,Riesling,Dry Estate Vineyards,New York,Finger Lakes,US,88,$16.0,Anna Lee C. Iijima,"Rich and juicy with aromas of preserved peach, fresh apple and even a hint of berries, this Riesling is dry in style, yet remarkably forward with fruit. The palate is bright, with zesty lemon-lime acidity that lingers on a medium-long finish."
JM Cellars 2006 Chardonnay (Columbia Valley (WA)),JM Cellars,Chardonnay,,Washington,Columbia Valley (WA),US,93,$32.0,Paul Gregutt,"All Milbrandt fruit has created a sappy, buttery and bright Washington Chardonnay. It bursts upon the palate with a beautiful mix of tropical fruits and caramel. Flavors are rich, persistent and lush. You want more long after the bottle has been drained."
Hestia Cellars 2005 Meritage Red Wine Red (Columbia Valley (WA)),Hestia Cellars,Red Blend,Meritage Red Wine,Washington,Columbia Valley (WA),US,88,$40.0,Paul Gregutt,"This Meritage red blend is 58% Cabernet Sauvignon, 30% Cabernet Franc and 12% Malbec. The fruit flavors are pure and focused, and the wine opens beautifully with tangy boysenberry, plum and wild cherry. The acids carry it aloft, and the tannins, just slightly hinting at green tea, are polished and firm. Though it finishes with some herbal flavors, it is satisfying throughout."
WillaKenzie Estate 2013 Aliette Pinot Noir,WillaKenzie Estate,Pinot Noir,Aliette,Oregon,Willamette Valley,US,92,$48.0,Paul Gregutt,"From the oldest part of the estate, this subtle wine rewards your patience and full attention. Hints of rose petals adorn the floral accents, while the midpalate emphasizes flavors of raspberries and orange peel. At first a bit shy, this opens slowly and reveals hidden complexities and enduring length. Drink now through 2025."
XYZin 2006 Zinfandel (Russian River Valley),XYZin,Zinfandel,,California,Russian River Valley,US,87,$30.0,,"Rich and exotic, this Zin offers a blast of ripe wild blackberry, briary currants, mulberry, mocha, pepper and spice flavors that are wrapped into sturdy tannins. It's a strongly flavored wine that needs powerful fare to match it."
Chateau Ste. Michelle 2008 Artist Series Red Meritage (Columbia Valley (WA)),Chateau Ste. Michelle,Meritage,Artist Series Red,Washington,Columbia Valley (WA),US,91,$55.0,Paul Gregutt,"Smooth and supple, this five-grape Bordeaux-style blend is almost two thirds Canoe Ridge estate fruit from the Horse Heaven Hills AVA, the rest Cold Creek Vineyard Merlot. Lovely aromas of sandalwood, spice and cocoa lead into a textural wine, with seamless fruit and barrel flavors."
Bennett Lane 2016 Maximus White Feasting Wine White (Napa Valley),Bennett Lane,White Blend,Maximus White Feasting Wine,California,Napa Valley,US,90,$36.0,Virginie Boone,"This blend of 89% Sauvignon Blanc, 10% Chardonnay and 1% Muscat is fulsome, lush and rounded, with deep layers of pear, fig and vanilla flavors. Acidity provides a zippy end to its lengthy finish."
Lynmar 2008 Chardonnay (Russian River Valley),Lynmar,Chardonnay,,California,Russian River Valley,US,93,$30.0,,"A beautiful Chardonnay, rich and ripe in fruit, yet balanced with dryness and racy acidity and a fine minerality. The pineapple and orange flavors are accented with sweet, smoky oak. Drink this luxuriously elegant wine now."
Poet's Leap 2011 Riesling (Columbia Valley (WA)),Poet's Leap,Riesling,,Washington,Columbia Valley (WA),US,92,$20.0,Paul Gregutt,"This shows lively acidity, with ripe but tart fruit and an alcohol level just slightly above 12%. The grapes used were sourced from the Benches (German clones) and old vine plantings at Dionysus. It's a lush Poet's Leap, lightly tasting of honey, and loaded with pretty flavors of Meyer lemon, ripe orange, and candied pineapple."
Maryhill 2013 Viognier (Columbia Valley (WA)),Maryhill,Viognier,,Washington,Columbia Valley (WA),US,89,$12.0,Paul Gregutt,"Partially fermented on French oak staves, this does express itself with some toasty aromatics, but well-defined and nicely balanced. The fruit offers ripe, mixed flavors of lemon, lime and pineapple, with juicy acidity, no bitterness and impressive length."
Covington 2008 Viognier (Columbia Valley (WA)),Covington,Viognier,,Washington,Columbia Valley (WA),US,88,$20.0,Paul Gregutt,"Nice fruit flavors show yellow fruits, stone fruits, some melon and hints of apricot. The wine is 100% varietal, 13.5% alcohol, and sourced from the Upland vineyard on Snipes Mountain. Overall good balance and length."
Left Coast Cellars 2012 Orchards Reserve Pinot Gris (Willamette Valley),Left Coast Cellars,Pinot Gris,Orchards Reserve,Oregon,Willamette Valley,US,88,$35.0,Paul Gregutt,"This very limited production reserve was fermented and aged sur lie in a concrete egg. Egg-zactly what that did for the flavor remains a mystery. It conveys crisp flavors of green berry, green apple and pear."
Columbia Crest 2005 Two Vines Shiraz (Columbia Valley (WA)),Columbia Crest,Shiraz,Two Vines,Washington,Columbia Valley (WA),US,84,$8.0,Paul Gregutt,"Straightforward, this offers thin, tart fruit with excessive vanilla and tobacco flavors. There's no residual sugar, but otherwise it's right out of the Australian playbook."
Northwest Totem Cellars 2006 Potlatch Red Red (Columbia Valley (WA)),Northwest Totem Cellars,Red Blend,Potlatch Red,Washington,Columbia Valley (WA),US,84,$30.0,Paul Gregutt,"A light, fruity, high-acid wine with strawberry flavors and a hint of leaf and herb."
